image,success,elapsed_ms,inliers,total_matches,reprojection_error,best_view
frame_000001.jpg,1,2832.573,10,56,1.19041,synthetic_018
frame_000002.jpg,1,1978.909,8,50,1.31177,synthetic_012
frame_000003.jpg,1,2445.911,15,38,3.98655,synthetic_016
frame_000004.jpg,1,2410.469,17,46,3.62834,synthetic_016
frame_000005.jpg,1,2855.432,9,38,1.60634,synthetic_018
frame_000006.jpg,1,184.053,10,50,2.33100,synthetic_000
frame_000007.jpg,1,3953.876,9,56,1.03612,synthetic_027
frame_000008.jpg,1,2405.379,9,44,1.27897,synthetic_017
frame_000009.jpg,1,157.289,11,30,2.10029,synthetic_001
frame_000010.jpg,1,4586.135,11,29,2.05342,synthetic_035
frame_000011.jpg,1,1792.910,10,27,1.37302,synthetic_016
frame_000012.jpg,1,627.981,8,25,1.28642,synthetic_005
frame_000013.jpg,1,2613.518,8,22,1.98649,synthetic_023
frame_000014.jpg,1,864.358,9,26,1.37228,synthetic_009
frame_000015.jpg,1,1944.120,12,39,1.56337,synthetic_016
frame_000016.jpg,1,1384.462,12,29,2.81652,synthetic_011
frame_000017.jpg,1,3784.416,9,47,1.72749,synthetic_033
frame_000018.jpg,1,2731.575,15,37,4.37187,synthetic_029
frame_000019.jpg,1,956.504,9,31,1.36395,synthetic_011
frame_000020.jpg,1,1894.804,8,30,2.52167,synthetic_018
frame_000021.jpg,1,2393.303,11,44,2.05310,synthetic_033
frame_000022.jpg,1,451.930,8,15,1.05445,synthetic_011
frame_000023.jpg,1,435.343,10,25,2.34782,synthetic_011
frame_000024.jpg,1,552.565,9,20,2.11364,synthetic_029
frame_000025.jpg,1,183.206,9,32,1.17397,synthetic_001
frame_000026.jpg,1,3713.662,10,79,1.46380,synthetic_022
frame_000027.jpg,1,2578.149,9,111,1.31684,synthetic_015
frame_000028.jpg,1,2519.256,8,111,1.47055,synthetic_015
frame_000029.jpg,1,2053.052,20,120,3.02263,synthetic_012
frame_000030.jpg,1,5356.303,21,135,3.78820,synthetic_033
frame_000031.jpg,1,4901.199,9,71,1.18337,synthetic_031
